Key,Name,Hex
color.pink,Hot Pink,#FF69B4
color.green,Hunter Green,#355E3B
color.blue,Iceberg,#71A6D2
color.yellow,Icterine,#FCF75E
color.green,Illuminating Emerald,#319177
color.red,Imperial Red,#ED2939
color.green,Inchworm,#B2EC5D
color.grey,Independence,#4C516D
color.green,India Green,#138808
color.red,Indian Red,#CD5C5C
color.yellow,Indian Yellow,#E3A857
color.purple,Indigo,#4B0082
color.purple,Iris,#5A4FCF
color.pink,Irresistible,#B3446C
color.white,Isabelline,#F4F0EC
color.white,Ivory,#FFFFF0
color.green,Jade,#00A86B
color.red,Japanese Carmine,#9D2933
color.blue,Japanese Indigo,#264348
color.purple,Japanese Violet,#5B3256
color.yellow,Jasmine,#F8DE7E
color.red,Jasper,#D73B3E
color.black,Jet,#343434
color.yellow,Jonquil,#F4CA16
color.green,June Bud,#BDDA57
color.green,Jungle Green,#29AB87
color.green,Kelly Green,#4CBB17
color.green,Keppel,#3AB09E
color.green,Key Lime,#E8F48C
color.yellow,Khaki,#C3B091
color.red,Kobe,#882D17
color.pink,Kobi,#E79FC4
color.brown,Kobicha,#6B4423
color.green,Kombu Green,#354230
color.purple,KSU Purple,#512888
color.red,KU Crimson,#E8000D
