Name,Hex,color
Algae,#54AC68,green
Alhambra,#00A094,teal
Alibi,#D4CBC4,orange
Alien,#415764,sky
Alien Abduction,#0CFF0C,green
Alien Purple,#490648,purple
Alienated,#00CC55,green
Align,#00728D,cyan
Alizarin,#E32636,red
All Made Up,#EFD7E7,fuchsia
All Nighter,#455454,cyan
All Systems Red,#B30103,red
Allegiance,#5A6A8C,blue
Allegory,#B4B2A9,gray
Allegro,#B28959,brown
Alley,#B8C4D9,sky
Alley Cat,#656874,gray
Alliance,#2B655F,teal
Alligator,#886600,brown
Alligator Alley,#C5D17B,lime
Alligator Gladiator,#444411,yellow
Allium,#9569A3,violet
Alloy,#908F92,gray
Allports,#1F6A7D,cyan
Allspice,#F8CDAA,orange
Allure,#7291B4,sky
Almanack,#E8DEC9,yellow
Almeja,#F5E0C9,orange
Almond,#EDDCC8,orange
Almond Brittle,#E5D3B9,yellow
Almost Plum,#BEB0C2,violet
Almost Royal,#6A2DED,indigo
Aloe,#817A60,yellow
Aloe Leaf,#61643F,lime
Aloe Mist,#DCF2E3,green
Aloe Plant,#B8BA87,lime
Aloe Thorn,#888B73,lime
Aloe Tip,#8A9480,gray
Aloe Vera,#678779,green
Aloe Wash,#D0D3B7,lime
Aloha,#1DB394,teal
Alone in the Dark,#000066,blue
Aloof,#D4E2E6,cyan
Alpaca,#F9EDE2,orange
Alpine,#AD8A3B,brown
Alpine Air,#A9B4A9,gray
Alpine Expedition,#99EEFF,cyan
Alpine Goat,#F1F2F8,white
Alpine Moon,#DED3E6,violet
Alto,#CDC6C5,gray
Aluminium,#848789,gray
Alverda,#A5C970,lime
Always Greener Grass,#11AA00,green
Alyssa,#F4E2D6,orange
Alyssum,#F2D5D7,pink
Amalfi,#016E85,cyan
Amaranth,#E86EAD,pink
Amaranth Purple,#723F89,violet
Amaranthine,#5F4053,fuchsia
Amaretto,#AB6F60,orange
Amaretto Sour,#C09856,brown
Amarklor Violet,#551199,indigo
Amazon,#387B54,green
Amazon Queen,#948F54,yellow
Amazonian Orchid,#A7819D,fuchsia
Amazonite,#00C4B0,teal
Amber,#FFBF00,brown
Ambit,#97653F,brown
Ambrosia,#C6E1BC,green
Ambrosial Oceanside,#47AE9C,teal
Ameixa,#6A5ACD,blue
Amelia,#BECCC2,green
American Violet,#551B8C,indigo
Americana,#0477B4,sky
Amethyst,#9966CC,indigo
Amethyst Cream,#ECEAEC,white
Amethyst Gem,#776985,indigo
Amethyst Light Violet,#CFC2D1,purple
Amethyst Orchid,#926AA6,violet
Amethyst Paint,#9C8AA4,violet
Amethyst Show,#BD97CF,violet
Amethyst Smoke,#95879C,violet
Amethyst Tint,#CDC7D5,indigo
Ametrine Quartz,#DED1E0,purple
Amok,#DDCC22,brown
Amor,#EE3377,pink
Amora Purple,#BB22AA,purple
Amore,#AE2F48,red
Amorous,#967D96,purple
Amorphous Rose,#B1A7B7,violet
Amour,#EE5851,red
Amourette,#C8C5D7,blue
Amparo Blue,#556CB5,blue
Amphibian,#264C47,teal
Amphitrite,#384E47,teal
Amphora,#9F8672,brown
Amphystine,#3F425A,blue
Amulet,#7D9D72,green
Amygdala Purple,#69045F,purple
Àn Zǐ Purple,#94568C,purple
Anakiwa,#8CCEEA,cyan
Anarchist,#DB304A,red
Anarchy,#DE0300,red
Ancestral,#D0C1C3,pink
Ancestral Gold,#DDCDA6,yellow
Ancestry Violet,#9E90A7,violet
Anchorman,#2C3641,sky
Anchovy,#756F6B,gray
Ancient,#EFEEDC,yellow
Ancient Chest,#99522B,brown
Ancient Murasaki Purple,#895B8A,purple
Ancient Pine,#444B43,gray
Ancient Scroll,#F0E4D1,yellow
Ancient Treasure,#E7D082,yellow
Andes Sky,#78D8D9,cyan
Andiron,#424036,yellow
Andorra,#633737,red
Andromeda Blue,#ABCDEE,sky
Anemone,#882D4C,pink
Angel Heart,#A17791,fuchsia
Angel Kiss,#CEC7DC,indigo
Angel Sol,#9BC2D7,sky
Angel Wing,#F3DFD7,orange
Angelic,#F2DCD7,red
Angelic Sent,#E3DFEA,indigo
Angelic Wings,#F4EFEE,white
Angelico,#EACFC2,orange
Angel’s Trumpet,#F6DD34,brown
Anger,#DD0055,pink
Angora,#DACAB1,yellow
Angraecum Orchid,#F4F6EC,white
Angry Flamingo,#F04E45,red
Angry Ghost,#EEBBBB,red
Angry Pasta,#FFCC55,yellow
Angry Tomato,#D82029,red
Animal Kingdom,#BCC09E,lime
Anime,#CCC14D,brown
Anime Blush,#FF7A83,pink
Anise Biscotti,#E5D5AE,yellow
Aniseed,#CDA741,brown
Anita,#91A0B7,sky
Anna Banana,#F5D547,brown
Annatto,#8C5341,orange
Annis,#6B475D,fuchsia
Annular,#E17861,red
Anode,#89A4CD,sky
Anon,#BDBFC8,blue
Another One Bites the Dust,#C7BBA4,yellow
Ansel,#016884,cyan
Ant Red,#B05D4A,red
Antarctic Love,#EDDEE6,pink
Antarctica,#BFD2D0,teal
Anthill,#7F684E,brown
Anthracite,#28282D,gray
Anti-Flash White,#F2F3F4,white
Antigua,#256D73,cyan
Antiguan,#BDDFD8,teal
Antimony,#C7C8C1,gray
Antiquate,#8D8AA0,blue
Antique,#8B846D,yellow
Antique Brass,#6C461F,brown
Antique Fuchsia,#915C83,fuchsia
Antique Heather,#CDBACB,purple
Antique Hot Pink,#B07F9E,fuchsia
Antique Port Wine,#98211A,red
Antique Viola,#928BA6,indigo
Antler,#957A76,red
Anubis Black,#312231,purple
Anzac,#C68E3F,brown
Ao,#00800C,green
Apeland,#8A843B,yellow
Aphrodisiac,#E35A63,pink
Aphrodite Aqua,#45E9C1,teal
Aphroditean Fuchsia,#DD14AB,fuchsia
Apium,#B5D0A2,green
Apnea Dive,#284FBD,blue
Apocalyptic Orange,#F4711E,brown
Apocyan,#99CCFF,sky
Apollo,#C8C4C2,gray
Apollo Landing,#E5E5E1,gray
Appetite,#B1E5AA,green
Apple Bob,#D5E69D,lime
Apple Cherry,#F81404,red
Apple Flower,#EDF4EB,white
Apple Ice,#BDD0B1,green
Apple II Magenta,#DC41F1,purple
Apple Jack,#8B974E,lime
Applegate,#8AC479,green
Applemint,#CDEACD,green
Appletini,#929637,lime
Appleton,#6EB478,green
Après-Ski,#CED5E4,blue
Apricot,#FFB16D,orange
Apricot Freeze,#F3CFB7,orange
Apricot Haze,#FFAAAA,red
Apricot Sherbet,#FBCD9F,orange
Apricotta,#D8A48F,orange
April Rain,#9BADA8,teal
April Showers,#DADEB5,lime
Aqua,#0FF0FE,cyan
Aqua Belt,#7ACAD0,cyan
Aqua Blue,#79B6BC,cyan
Aqua Cyan,#01F1F1,cyan
Aqua Deep,#014B43,teal
Aqua Fiesta,#96E2E1,cyan
Aqua Glass,#D2E8E0,teal
Aqua Glow,#9DD5C8,teal
Aqua Green,#12E193,teal
Aqua Grey,#889FA5,cyan
Aqua Lake,#30949D,cyan
Aqua Mist,#A0C9CB,cyan
Aqua Oasis,#BCE8DD,teal
Aqua Obscura,#05696B,cyan
Aqua Pura,#DDF2EE,teal
Aqua Sea,#61A1A9,cyan
Aqua Sky,#70BBBF,cyan
Aqua Spray,#A5DDDB,teal
Aqua Tint,#E5F1EE,teal
Aqua Wish,#A0E3D1,teal
Aqua Zing,#7CD8D6,cyan
Aquacade,#E1F0EA,teal
Aquadazzle,#006F49,teal
Aquadulce,#7B9F82,green
Aquafir,#E3ECED,gray
Aqualogic,#57B7C5,cyan
Aquamarine,#2EE8BB,teal
Aquarelle,#61AAB1,cyan
Aquarelle Lilac,#EDC8FF,violet
Aquarium,#356B6F,cyan
Aquarius,#2DB0CE,cyan
Aquastone,#89C6B7,teal
Aquatic,#99C1CC,cyan
Aquatic Edge,#BFD6D1,teal
Aquatone,#A6B5A9,green
Aqueduct,#60B3BC,cyan
Aquella,#59B6D9,cyan
Aqueous,#388D95,cyan
Aquifer,#E2ECED,cyan
Aquitaine,#88ABB4,cyan
Ara Glen,#ADAD9C,yellow
Arabella,#82ACC4,sky
Arabica Mint,#C0FFEE,teal
Aragon,#B06455,red
Aragonite White,#F3F1F3,white
Arancio,#FF7013,brown
Arapawa,#274A5D,sky
Arava,#A18D71,brown
Arboretum,#70BA9F,teal
Arc Light,#CCDDFF,blue
Arcade Fire,#EE3311,red
Arcade Glow,#0022CC,blue
Arcadia,#00AC8D,teal
Arcane,#98687E,pink
Arcane Brew,#5260E1,blue
Arcane Red,#6A2F2F,red
Archaeology,#6E6A5E,gray
Archisa,#CAC69D,yellow
Arctic,#648589,cyan
Arctic Dusk,#816678,fuchsia
Arctic Glow,#C9D1E9,blue
Arctic Ice,#B6BDD0,blue
Arctic Nights,#345C61,cyan
Arctic Water,#00FCFC,cyan
Ardcoat,#E2DEDF,gray
Ardósia,#232F2C,teal
Ares Red,#DD2200,red
Argan Oil,#9D6646,brown
Argent,#888888,gray
Argento,#CECAC3,yellow
Argos,#BDBDB7,gray
Argyle,#348A5D,green
Argyle Purple,#895C79,fuchsia
Aria,#E3E4E2,gray
Ariel,#AED7EA,cyan
Aristocratic Pink,#DDAACC,fuchsia
Aristocratic Velvet,#980B4A,pink
Arizona,#EEB377,orange
Armada,#536762,teal
Armadillo,#484A46,gray
Armour,#74857F,gray
Armour Wash,#030303,black
Armoury,#6A6B65,gray
Army Golf,#6C7735,lime
Army Green,#4B5320,lime
Arnica,#BF8F37,brown
Aroma,#D3C1C5,pink
Aromatic,#706986,blue
Aromatic Herbs,#98C945,lime
Arona,#879BA3,cyan
Around the Gills,#A1B670,lime
Arraign,#5C546E,indigo
Arrakis Spice,#BB8246,brown
Arrowwood,#B3861E,brown
Arsenic,#3B444B,sky
Artefact,#CA9D8D,orange
Artemis,#D2A96E,yellow
Arterial,#711518,red
Artful,#A8B1AD,gray
Artichoke,#8F9779,lime
Artifice,#E6E2D3,yellow
Artisan,#8F5C45,brown
Artisans Gold,#F2AB46,brown
Artiste,#987387,pink
Artist’s Charcoal,#37393E,gray
Arugula,#75AD5B,green
Asagi Koi,#455559,cyan
Ash,#BEBAA7,yellow
Ash Plum,#E8D3C7,orange
Ash Rose,#B5817D,red
Ash Tree,#AABB99,green
Ashberry,#B495A4,pink
Ashen,#C9BFB2,orange
Ashen Whisper,#646B7A,blue
Ashes,#B8B5AD,gray
Ashes to Ashes,#BBB3A2,yellow
Ashlite,#A7A49F,gray
Ashwood,#EDD6AE,yellow
Asiago,#DBD4C3,yellow
Asian Spice,#118822,green
Aspara,#70B2CC,cyan
Asparagus,#77AB56,green
Asparagus Sultan,#6A8E22,lime
Aspen Hush,#6A8D88,teal
Aspen Snow,#F0F0E7,white
Asphalt,#130A06,brown
Assassin,#2D4F83,sky
Assassin’s Red,#F60206,red
Assault,#1C4374,sky
Aster,#867BA9,blue
Aster Violetta,#8F629A,violet
Astilbe,#F091A9,pink
Astra,#EDD5A6,yellow
Astral,#376F89,cyan
Astral Aura,#363151,blue
Astral Nomad,#203943,cyan
Astronaut,#445172,blue
Astronomer,#E8F2EB,white
Astroturf,#67A159,green
Aswad Black,#17181C,black
At Ease,#E7EEE1,green
Atelier,#A3ABB8,sky
Athena,#DCD7CC,yellow
Athens,#3F74B1,sky
Atlantic Tulip,#B598C3,violet
Atlantis,#336172,cyan
Atlas Cedar,#5CA0A7,cyan
Atlas Red,#82193A,pink
Atoll,#2B797A,cyan
Atom Blue,#8F9CAC,sky
Atomic,#3D4B52,cyan
Atomic Lime,#B9FF03,lime
Atomic Orange,#F88605,brown
Atomic Tangerine,#FF9966,orange
Attic Linen,#CCBCA9,orange
Attica,#A1BCA9,green
Attitude,#A48884,red
Attorney,#3F4258,blue
Au Chico,#9E6759,orange
Au Clair de la Lune,#F4F2E2,yellow
Auberge,#3F3130,red
Aubergine,#372528,red
Aubergine Mauve,#3B2741,violet
Aubergine Perl,#5500AA,indigo
Auburn,#712F2C,red
Audition,#B5ACB7,gray
Augustus Asparagus,#90AA0B,lime
Aumbry,#7C7469,gray
Aunt Violet,#7C0087,purple
Aura,#B2A8A1,orange
Aureolin,#FDEE00,yellow
Auric,#C48919,brown
Auricula Purple,#533552,purple
Aurora,#EBD147,brown
Austere,#726848,brown
Autumn,#AF865B,brown
Autumn Crocodile,#447744,green
Autumn Fire,#C44E4F,red
Autumn Gold,#7D623C,brown
Autumn Wisteria,#C9A0DC,violet
Autumnal,#AD5928,brown
Avalon,#799B96,teal
Aventurine,#576E6A,teal
Aviator,#7D6049,brown
Aviva,#C5B47F,yellow
Avocado,#568203,lime
Avocado Stone,#4E3E1F,brown
Avorio,#CCBDB4,orange
Awaken,#A7A3BB,blue
Awakened,#E3DAE9,violet
Award Night,#54617D,blue
Awareness,#E3EBB1,lime
Awe,#F0D6CF,orange
Awesome Aura,#CCC1DA,indigo
Awkward Purple,#D208CC,purple
Axinite,#756050,brown
Axis,#BAB6CB,blue
Axolotl,#FFF0DF,orange
Ayahuasca Vine,#665500,brown
Ayame Iris,#763568,fuchsia
Azalea,#D73B5D,red
Azeitona,#A5B546,lime
Azores,#7C968B,green
Azraq Blue,#4C6CB3,blue
Aztec,#293432,teal
Aztec Jade,#33BB88,teal
Aztec Sky,#4DB5D7,cyan
Aztec Temple,#84705B,brown
Aztec Warrior,#BB0066,pink
Azul,#1D5DEC,blue
Azulado,#211D49,blue
Azure,#007FFF,sky
Azure Sky,#B0E0F6,cyan
Azurean,#59BAD9,cyan
Azuremyst Isle,#CC81F0,violet
Azureno,#8FA0D5,blue
Baba Ganoush,#EEBB88,orange
Babe,#DC7B7C,pink
Babiana,#876FA3,indigo
Baby Aqua,#ABCCC3,teal
Baby Bear,#6F5944,brown
Baby Blue,#A2CFFE,sky
Baby Cake,#87BEA3,green
Baby Girl,#FFDFE8,pink
Baby Jane,#D0A7A8,pink
Baby Pink,#FFB7CE,pink
Baby Powder,#FEFEFA,white
Baby Purple,#CA9BF7,indigo
Baby Steps,#F5C9DA,pink
Baby Tone,#DCC2CB,pink
Baby Whale,#4D5588,blue
Back in Black,#16141C,black
Backdrop,#A7A799,gray
Backroom Ember,#A19250,brown
Backwoods,#4A6546,green
Backyard,#879877,green
Bacon Strips,#DF3F32,red
Badab Black Wash,#0A0908,black
Badass Grass,#B4DA55,lime
Badlands,#B5695A,red
Bagel,#F6CD9B,orange
Bagpiper,#1C5544,teal
Bahia,#A9C01C,lime
Bái Sè White,#ECEFEF,white
Bainganī,#8273FD,blue
Baize,#4B5445,green
Baja,#D2C1A8,yellow
Baja Blue,#66A6D9,sky
Bakelite,#E6D4A5,yellow
Baker Rose,#BF8284,pink
Bakery Box,#F0F4F2,white
Bakery Brown,#AB9078,brown
Baker’s Bread,#D0B393,orange
Baker’s Dozen,#CEB997,yellow
Baker’s Dream,#C98F70,brown
Baklava,#EFB435,brown
Balance,#D1DBC2,lime
Balanced,#D7D2D1,gray
Balboa,#AFD3DA,cyan
Bali Hai,#849CA9,sky
Ball Blue,#21ABCD,cyan
Ballad,#CAB6C6,fuchsia
Ballerina,#F2CFDC,pink
Ballet,#F7D5D4,red
Ballet Slippers,#FCA2AD,pink
Ballyhoo,#58A83B,green
Balmy,#C5D8DE,cyan
Balmy Seas,#B4DCD3,teal
Balsam,#BEC4B7,lime
Balsamico,#130D07,brown
Baltic,#279D9F,cyan
Baltic Amber,#FBB782,orange
Bambino,#8EDACC,teal
Bamboo,#E3DEC6,yellow
Bamboo Forest,#B1A979,brown
Banafš Violet,#5A1991,indigo
Banan-Appeal,#FAF3A6,yellow
Banana,#FFFC79,yellow
Banana Bandanna,#F8F739,yellow
Banana Bombshell,#F7E82E,yellow
Banana Bread,#FFCF73,yellow
Banana Brick,#E8D82C,brown
Banana Cream,#FFF49C,yellow
Banana Drama,#F1D548,brown
Banana Flash,#EEFE02,lime
Banana Frappé,#DDD5B6,yellow
Banana King,#FFFB08,yellow
Banana Mania,#FBE7B2,yellow
Banana Milk,#FFF7AD,yellow
Banana Pepper,#FDD630,brown
Banana Propaganda,#F3DB00,brown
Banana Republic,#FFE292,yellow
Banana Split,#F7EEC8,yellow
Bancha,#666A47,lime
Band-Aid,#D7A97C,orange
Bandana,#01578F,sky
Bane of Royalty,#871466,fuchsia
Bang,#BC393B,red
Bangalore,#BBAA88,yellow
Bank Blue,#3E4652,sky
Bank Vault,#757374,gray
Banksia,#A6B29A,green
Banner Gold,#A28557,brown
Banshee,#DAF0E6,green
Baptism by Fire,#E6490B,brown
Bara Red,#E9546B,pink
Barbados,#3E6676,cyan
Barbara,#FF0FF3,purple
Barbarossa,#A84734,red
Barbecue,#C26157,red
Barbera,#8B031C,red
Barberry,#EE1133,red
Barbiecore,#E15ACB,purple
Bare,#817E6D,gray
Bare Mintimum,#D6E3E7,cyan
Barely Bloomed,#DDAADD,purple
Barf Green,#94AC02,lime
Barista,#BCAFA2,orange
Barista’s Favourite,#BB8D4E,brown
Barite,#9E7B5C,brown
Baritone,#708E95,cyan
Barium,#F4E1C5,yellow
Bark,#5F5854,gray
Barley,#D5B37E,yellow
Barn Red,#8B4044,red
Barney,#AC1DB8,purple
Barney Purple,#A00498,purple
Barnwood,#554D44,orange
Barolo,#71000E,red
Baroness,#A785A7,purple
Baroque,#DDAA22,brown
Barossa,#452E39,pink
Barrel,#F0B069,orange
Barrel Aged,#8B6945,brown
Barren,#B9ABA3,orange
Basalt,#989998,gray
Base Camp,#575C3A,lime
Bashful,#E3EDED,gray
Bashful Pansy,#D9CDE5,indigo
Basil,#879F84,green
Basil Mauve,#6C5472,violet
Basil Smash,#B7E1A1,green
Basilisk,#9AB38D,green
Basketball,#EE6730,brown
Basketry,#BDA286,orange
Bassinet,#D3C1CB,pink
Basswood,#C9B196,orange
Basswood Green,#839E83,green
Bastille,#2C2C32,gray
Bat Wing,#7E7466,orange
Bat-Signal,#FEFF00,yellow
Batch Brew,#45392F,brown
Bateau,#1B7598,cyan
Bath,#D8E9DB,green
Bath Bubbles,#E6F2EA,green
Bath Water,#88EEEE,cyan
Bathing,#93C9D0,cyan
Batik Pink,#9C657E,pink
Batman,#656E72,gray
Baton,#866F5A,brown
Bats Cloak,#1F1518,black
Battletoad,#11CC55,green
Bat’s Blood Soup,#EE3366,pink
Bauhaus,#3F4040,gray
Bavarian,#4D5E42,green
Bavarian Gentian,#20006D,indigo
Bavarian Green,#749A54,green
Bay,#B3E2D3,teal
Bay Area,#AFA490,yellow
Bay Fog,#9899B0,blue
Bay Leaf,#86793D,brown
Bay Mist,#85C5C8,cyan
Bay of Many,#353E64,blue
Bay Salt,#D2CDBC,yellow
Bay Site,#325F8A,sky
Bay Teal,#018486,cyan
Bay View,#6A819E,sky
Bayberry,#275A5D,cyan
Bayou,#268483,cyan
Bayshore,#89CEE0,cyan
Bayside,#5FC9BF,teal
Bazaar,#8F7777,red
BBQ,#A35046,red
Be Mine,#F4E3E7,pink
Beach,#EFE4BB,yellow
Beach Bag,#ADB864,lime
Beach Dune,#C6BB9C,yellow
Beach Glass,#96DFCE,teal
Beach Lilac,#BDA2C4,violet
Beach View,#4F7694,sky
Beaches of Cancun,#FBEDD7,yellow
Beacon,#EBE8B9,yellow
Beaded Blue,#494D8B,blue
Bean,#4A1207,red
Beanpole,#4E8747,green
Beanstalk,#31AA74,green
Bear,#766E65,gray
Bear Hug,#796359,orange
Bear Rug,#5A4943,orange
Bearsuit,#7D756D,gray
Beat Around the Bush,#6E6A44,brown
Beaten Purple,#4E0550,purple
Beatnik,#5F8748,green
Beau Blue,#BCD4E6,sky
Beau Monde,#7DB39E,teal
Beau Vert,#0C6064,cyan
Beaujolais,#80304C,pink
Beautiful Darkness,#686D70,gray
Beauty,#866B8D,violet
Beauty and the Beach,#C99680,orange
Beaver,#926F5B,brown
Béchamel,#F4EEE0,yellow
Beckett,#85A699,teal
Becquerel,#4BEC13,green
Bed of Roses,#B893AB,fuchsia
Bedazzled,#D3B9CC,fuchsia
Bedbox,#968775,orange
Bedrock,#9E9D99,gray
Bee,#F1BA55,yellow
Bee Hall,#F2CC64,yellow
Bee Yellow,#FEFF32,yellow
Beech,#5B4F3B,brown
Beech Fern,#758067,lime
Beefy Pink,#DEBEEF,violet
Beehive,#E1B781,orange
Beekeeper,#F6E491,yellow
Beer,#FCAA12,brown
Beeswax,#E9D7AB,yellow
Beeswing,#F5D297,yellow
Beet Red,#7E203F,pink
Beet Wave,#D4265D,pink
Beetiful Magenta,#90306A,fuchsia
Beetle,#55584C,gray
Beetroot,#663F44,red
Beetroot Purple,#D33376,pink
Beets,#736A86,indigo
Befitting,#96496D,pink
Beggar,#5A4D39,brown
Begonia,#FA6E79,pink
Beguile,#848E8A,gray
Beige,#E6DAA6,yellow
Beignet,#ECCC9B,yellow
Bejewelled,#25A26F,teal
Belfast,#558D4F,green
Belgian Waffle,#F3DFB6,yellow
Belize,#7FD3D3,cyan
Bell Blue,#618B97,cyan
Bell Heather,#A475B1,violet
Bell Tower,#DAD0BB,yellow
Bella,#574057,purple
Bella Pink,#E08194,pink
Bella Sera,#40465D,blue
Belladonna,#220011,pink
Bellflower,#5D66AA,blue
Bellini,#F4C9B1,orange
Beloved,#B3B4DD,blue
Beloved Sunflower,#FFBA24,brown
Below the Surface,#0A2F7C,blue
Below Zero,#87CDED,cyan
Beluga,#EFF2F1,white
Benevolence,#694977,violet
Benevolent Pink,#DD1188,pink
Bengal,#CC974D,brown
Benifuji,#BB7796,pink
Benitoite,#007BAA,cyan
Bento Box,#CC363C,red
Berber,#D8CFB6,yellow
Bergamot,#95C703,lime
Bermuda,#1B7D8D,cyan
Bermuda Onion,#9D5A8F,fuchsia
Bermudagrass,#6BC271,green
Bern Red,#E20909,red
Berries Galore,#AB7CB4,violet
Berry,#990F4B,pink
Berry Blackmail,#662277,violet
Berry Blast,#FF017F,pink
Berry Bliss,#9E8295,fuchsia
Berry Bright,#A08497,fuchsia
Berry Burst,#AC72AF,purple
Berry Butter,#EFCEDC,pink
Berry Charm,#4F4763,indigo
Berry Conserve,#765269,fuchsia
Berry Frappé,#B3A1C6,indigo
Berry Good,#EDC3C5,pink
Berry Jam,#655883,indigo
Berry Light,#673B66,purple
Berry Mix,#555A90,blue
Berry Pie,#4F6D8E,sky
Berry Popsicle,#D6A5CD,fuchsia
Berry Pretty,#A0688D,fuchsia
Berry Syrup,#64537C,indigo
Berry Wine,#624D55,pink
Berrylicious,#D75E6C,pink
Beru,#BFE4D4,green
Beryl,#71DCB8,teal
Beryl Red,#A16381,pink
Bespoke,#D4BA9D,orange
Bessie,#685E5B,gray
Bethany,#CADBBD,green
Bethlehem Superstar,#EAEEDA,lime
Betsy,#73C9D9,cyan
Betta Fish,#3A6B66,teal
Beurre Blanc,#EDE1BE,yellow
Bevelled Glass,#7ACCB8,teal
Bewitching,#75495E,pink
Beyond the Pines,#688049,lime
Beyond the Sea,#005784,sky
Beyond the Stars,#0A3251,sky
Bff,#DBB0D3,fuchsia
Bff Blue,#70C0E2,cyan
Bianca,#F4EFE0,yellow
Big Band,#AFABA0,gray
Big Bang Pink,#FF0099,fuchsia
Big Chill,#7ECBE2,cyan
Big Fish,#99A38E,green
Big Fish to Fry,#DADBE1,gray
Big Spender,#ACDDAF,green
Big Stone,#334046,cyan
Big Sur,#B3CADC,sky
Big Surf,#96D0D1,cyan
Big Yellow Taxi,#FFFF33,yellow
Bigfoot,#715145,brown
Bijou Blue,#4E5E7F,blue
Bilbao,#3E8027,green
Bilberry,#71777E,gray
Bile,#B5C306,lime
Billabong,#1B6F81,cyan
Billet,#AD7C35,brown
Billiard,#00AF9F,teal
Billow,#83C0E5,sky
Biloba Flower,#AE99D2,indigo
Biloxi,#F4E4CD,yellow
Biltong,#410200,red
Bimi Green,#54682B,lime
Binary Black,#010101,black
Bindi Red,#B0003C,pink
Bio Blue,#465F9E,blue
Biohazard Suit,#FBFB4C,yellow
Biopunk,#66FF55,green
BioShock,#889900,lime
Birch,#3F3726,brown
